Institution Name,Clearing Code,Branch Name,Branch Code,Branch Address,Telephone Number,Clearing System Status*
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,048,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,049,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,050,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,051,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,052,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,053,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,054,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,055,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,056,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,057,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,058,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,059,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,060,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Private Banking Centre,333,6/F  1 Garden Road  Hong Kong,3982 6988,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Central District Branch,349,2A Des Voeux Road Central  Hong Kong,2160 8888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,409 Hennessy Road Branch,350,B/F-2/F  409-415 Hennessy Road & 1/F  395-407 Hennessy Road  Wan Chai  Hong Kong,2833 8833,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Prince Edward Branch,351,774 Nathan Road  Kowloon  Hong Kong,2399 3000,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,194 Cheung Sha Wan Road Branch,352,194-196 Cheung Sha Wan Road  Sham Shui Po  Kowloon  Hong Kong,2728 9389,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Ma Tau Wai Road Branch,353,47-49 Ma Tau Wai Road  Hung Hom  Kowloon  Hong Kong,2926 5123,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Pak Tai Street Branch,354,4-6 Pak Tai Street  To Kwa Wan  Kowloon  Hong Kong,2760 7773,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Tsuen Wan Branch,355,297-299 Sha Tsui Road  Tsuen Wan  New Territories  Hong Kong,2411 1321,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Kwai Chung Road Branch,356,1009 Kwai Chung Road  Kwai Chung  New Territories  Hong Kong,2424 3021,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Citywalk Branch,357,Shop 65 & 67-69  G/F  Citywalk  1 Yeung Uk Road  Tsuen Wan  New Territories  Hong Kong,2920 3211,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Sheung Kwai Chung Branch,358,7-11 Shek Yi Road  Sheung Kwai Chung  New Territories  Hong Kong,2480 6161,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Texaco Road Branch,359,Shop A112  East Asia Gardens  36 Texaco Road  Tsuen Wan  New Territories  Hong Kong,2414 4287,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Ha Kwai Chung Branch,361,192-194 Hing Fong Road  Kwai Chung  New Territories  Hong Kong,2424 9823,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Mong Kok Branch,362,589 Nathan Road  Mong Kok  Kowloon  Hong Kong,2332 0111,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Fuk Tsun Street Branch,363,32-40 Fuk Tsun Street  Tai Kok Tsui  Kowloon  Hong Kong,2391 8468,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Kwong Fuk Road Branch,364,40-50 Kwong Fuk Road  Tai Po  New Territories  Hong Kong,2658 2268,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Tai Yau Street Branch,365,35 Tai Yau Street  San Po Kong  Kowloon  Hong Kong,2328 0087,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Kau Yuk Road Branch,368,18-24 Kau Yuk Road  Yuen Long  New Territories  Hong Kong,2473 2833,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,194 Cheung Sha Wan Road Branch,369,G/F to 5/F  BOC Cheung Sha Wan Building  194-200 Cheung Sha Wan Road  Sham Shui Po  Kowloon  Hong Kong,2728 9389,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Tsuen Wan Branch,374,297-299 Sha Tsui Road  Tsuen Wan  New Territories  Hong Kong,2411 1321,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Texaco Road Branch,375,Shop A112  East Asia Gardens  36 Texaco Road  Tsuen Wan  New Territories  Hong Kong,2414 4287,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Cheung Hong Estate Commercial Centre Branch,376,2 G/F  Commercial Centre  Cheung Hong Estate  Tsing Yi Island  New Territories  Hong Kong,2497 0325,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Castle Peak Road (Tsuen Wan) Branch,377,G/F-1/F  Sin Ching Building  201-207 Castle Peak Road (Tsuen Wan)  Tsuen Wan  New Territories  Hong Kong,2493 8161,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Des Voeux Road West Branch,378,111-119 Des Voeux Road West  Hong Kong,2546 1134,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Queen's Road Central Branch,379,81-83 Queen's Road Central  Hong Kong,2588 1288,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Choi Yuen Plaza Branch,380,Shop R9-10  3/F  Choi Yuen Plaza  Sheung Shui  New Territories  Hong Kong,2671 6783,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,To Kwa Wan Branch,381,80N To Kwa Wan Road  Kowloon  Hong Kong,2364 4344,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Kin Wing Street Branch,382,24-30 Kin Wing Street  Tuen Mun  New Territories  Hong Kong,2465 2212,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Sheung Wan Branch,383,Shop 1-4 G/F & 1/F  Tung Hip Commercial Building  244-248 Des Voeux Road Central  Hong Kong,2541 1601,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Choi Wan Estate Branch,384,Shop Nos. A317 and A318  3/F  Choi Wan Shopping Centre Phase II  No. 45 Clear Water Bay Road  Ngau Chi Wan  Kowloon  Hong Kong,2754 5911,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Lung Hang Estate Branch,385,103 Lung Hang Commercial Centre  Sha Tin  New Territories  Hong Kong,2605 8618,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Tuen Mun Town Plaza Branch,386,Shop 2  Tuen Mun Town  Plaza Phase II  Tuen Mun  New Territories  Hong Kong,2450 8877,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Luen Wo Market Branch,387,17-19 Wo Fung Street  Luen Wo Market  Fanling  New Territories  Hong Kong,2675 6113,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Tai Po Plaza Branch,388,Unit 4  Level 1 Tai Po Plaza  1 On Tai Road  Tai Po  New Territories  Hong Kong,2665 5890,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Lei Cheng Uk Estate Branch,389,Shop 108  Lei Cheng Uk Commercial Centre  Lei Cheng Uk Estate  Kowloon  Hong Kong,2729 8251,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Heng Fa Chuen Branch,390,Shop 205-208  East Wing Shopping Centre  Heng Fa Chuen  Chai Wan  Hong Kong,2897 1131,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Heng On Estate Branch,391,Shop 203  Commercial Centre  Heng On Estate  Ma On Shan  New Territories  Hong Kong,2642 0111,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Kowloon Bay Branch,392,Shop 2  Telford House  16 Wang Hoi Road  Kowloon Bay  Kowloon  Hong Kong,2759 9339,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Fo Tan Branch,393,No. 2  1/F Shatin Galleria  18-24 Shan Mei Street  Fo Tan  New Territories  Hong Kong,2691 7193,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Humphrey's Avenue Branch,394,4-4A Humphrey's Avenue  Tsim Sha Tsui  Kowloon  Hong Kong,2311 3822,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Hoi Yuen Road Branch,395,55 Hoi Yuen Road  Kwun Tong  Kowloon  Hong Kong,2763 5511,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Kowloon Plaza Branch,396,Unit 1  Kowloon Plaza  485 Castle Peak Road  Kowloon  Hong Kong,2370 8928,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bonham Road Branch,397,63 Bonham Road  Hong Kong,2517 7066,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,North Point (Hang Ying Building) Branch,399,Shop B1  318-328 King's Road  North Point  Hong Kong,2887 1199,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Agent Bank - Hong Kong/Shenzhen Joint Clearing,530,1 Garden Road  Hong Kong,2298 7868,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Agent Bank - Hong Kong/Guangdong Province Joint Clearing,531,1 Garden Road  Hong Kong,2298 7868,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Agent Bank - Hong Kong/Macao Joint Clearing,532,1 Garden Road  Hong Kong,2298 7868,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,550,One Garden Road  Central  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Des Voeux Road West Branch,551,111-119 Des Voeux Road West  Hong Kong,2546 1134,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Sham Shui Po Branch,552,207-211 Nam Cheong Street  Sham Shui Po  Kowloon  Hong Kong,2777 0171,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Shek Tong Tsui Branch,553,534 Queen's Road West  Shek Tong Tsui  Hong Kong,2819 7277,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Waterloo Road Branch,554,Shop A2  Man Kee Mansion  86 Waterloo Road  Kowloon  Hong Kong,2363 9231,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,409 Hennessy Road Branch,555,B/F-2/F  409-415 Hennessy Road & 1/F  395-407 Hennessy Road  Wan Chai  Hong Kong,2833 8833,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Sham Shui Po Branch,558,207-211 Nam Cheong Street  Sham Shui Po  Kowloon  Hong Kong,2777 0171,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Tsuen Wan Branch,559,297-299 Sha Tsui Road  Tsuen Wan  New Territories  Hong Kong,2411 1321,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Kennedy Town Branch,560,Harbour View Garden  2-2F Catchick Street  Kennedy Town  Hong Kong,2818 6162,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Mong Kok (Silvercorp Int'l Tower) Branch,561,Shop B  707-713 Nathan Road  Mong Kok  Kowloon  Hong Kong,2391 6677,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Lei Muk Shue Branch,563,Shop 22  Lei Muk Shue Shopping Centre  Kwai Chung  New Territories  Hong Kong,2428 5731,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Venice Gardens Branch,564,Shop 13-15  G/F Venice Gardens  Leung Tak Street  Tuen Mun  New Territories  Hong Kong,2455 1288,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,City One Sha Tin Branch,565,Shop Nos. 24-25  G/F  Fortune City One Plus  No.2 Ngan Shing Street  Shatin  New Territories  Hong Kong,2648 8083,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Mei Foo Mount Sterling Mall Branch,566,Shop N47-49  G/F  Mount Sterling Mall  38-46 Nassau Street  Mei Foo Sun Chuen  Lai Chi Lok  Kowloon  Hong Kong,2742 6611,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Wong Tai Sin Branch,567,Shop G13-G13A  Wong Tai Sin Plaza  Wong Tai Sin  Kowloon  Hong Kong,2327 8147,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Castle Peak Road (Cheung Sha Wan) Branch,568,365-371 Castle Peak Road  Cheung Sha Wan  Kowloon  Hong Kong,2728 3311,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Tuen Mun Fa Yuen Branch,569,Shop G & H  6 Tsing Hoi Circuit  Tuen Mun  New Territories  Hong Kong,2458 1033,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,On Chee Road Branch,571,Shop 10 Level 1 & Shop 9 Level 2  Jade Plaza  3 On Chee Road  Tai Po  New Territories  Hong Kong,2665 1966,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Telford Plaza Branch,572,Shop Unit P2-P7  Telford Plaza  No. 33 Wai Yip Street  Kowloon Bay  Kowloon  Hong Kong,2796 1551,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Kau Yuk Road Branch,573,18-24 Kau Yuk Road  Yuen Long  New Territories  Hong Kong,2473 2833,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Quarry Bay Branch,574,Parkvale  1060 King's Road  Quarry Bay  Hong Kong,2564 0333,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Hoi Yuen Road Branch,575,55 Hoi Yuen Road  Kwun Tong  Kowloon  Hong Kong,2763 2127,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Caine Road Branch,576,57 Caine Road  Hong Kong,2521 3318,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Humphrey's Avenue Branch,577,4-4A Humphrey's Avenue  Tsim Sha Tsui  Kowloon  Hong Kong,2311 3822,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,North Point (Hang Ying Building) Branch,578,Shop B1  318-328 King's Road  North Point  Hong Kong,2887 1199,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Ma On Shan Plaza Branch,579,Shop 2103  Level 2  Ma On Shan Plaza  Sai Sha Road  Ma On Shan  New Territories  Hong Kong,2631 0063,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Sham Tseng Branch,580,Shop G1 & G2  Rhine Garden  Sham Tseng  New Territories  Hong Kong,2491 0038,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Jordan Road Branch,581,1/F  Sino Cheer Plaza  23-29 Jordan Road  Kowloon  Hong Kong,2730 0883,MDDM
